# Frequency list

# Corpus: decow16b
# Query:  "[Ee]in" "[Bb]i(ß|ss)chen" "zu" [tag="ADJ.*"] 21156

# Frequency limit: 0


Lemma	Frequency	
eine bisschen zu kindlich	4	
eine bisschen zu kahl	4	
eine bisschen zu instabil	4	
eine bisschen zu inflationär	4	
eine bisschen zu happy	4	
eine bisschen zu haarig	4	
eine bisschen zu gründlich	4	
eine bisschen zu glänzend	4	
eine bisschen zu gewaltig	4	
eine bisschen zu gelb	4	
eine bisschen zu gekünstelt	4	
eine bisschen zu frostig	4	
eine bisschen zu fahrlässig	4	
eine bisschen zu exzessiv	4	
eine bisschen zu exzentrisch	4	
eine bisschen zu experimentell	4	
eine bisschen zu engstirnig	4	
eine bisschen zu elektronisch	4	
eine bisschen zu eklig	4	
eine bisschen zu einheitlich	4	
eine bisschen zu eingängig	4	
eine bisschen zu eilig	4	
eine bisschen zu diffus	4	
eine bisschen zu chaotisch	4	
eine bisschen zu böse	4	
eine bisschen zu blutig	4	
eine bisschen zu blumig	4	
eine bisschen zu besitzergreifend	4	
eine bisschen zu barsch	4	
eine bisschen zu aufregend	4	
eine bisschen zu anhänglich	4	
eine bisschen zu amerikanisch	4	
eine Bisschen zu spät	4	
eine Bisschen zu schwer	4	
eine Bisschen zu hoch	4	
eine Bisschen zu früh	4	
ein bisschen zu ähnlich	4	
ein bisschen zu wirr	4	
ein bisschen zu verwirrend	4	
ein bisschen zu verbissen	4	
ein bisschen zu umfangreich	4	
ein bisschen zu traurig	4	
ein bisschen zu selbstbewusst	4	
ein bisschen zu schade	4	
ein bisschen zu pathetisch	4	
ein bisschen zu paranoid	4	
ein bisschen zu nervig	4	
ein bisschen zu leer	4	
ein bisschen zu kurzfristig	4	
ein bisschen zu flott	4	
ein bisschen zu eilig	4	
ein bisschen zu dominant	4	
ein bisschen zu dicht	4	
ein bisschen zu bieder	4	
ein bisschen zu bequem	4	
ein bisschen zu auffällig	4	
ein bisschen zu abstrakt	4	
eins bisschen zu stressig	3	
eins bisschen zu jung	3	
eins bisschen zu hoch	3	
eins bisschen zu gut	3	
eins bisschen zu alt	3	
einen bisschen zu hoch	3	
einen bisschen zu einfach	3	
einen bisschen zu dick	3	
eine bisschen zu zynisch	3	
eine bisschen zu zweit	3	
eine bisschen zu zierlich	3	
eine bisschen zu zerklüftet	3	
eine bisschen zu zappelig	3	
eine bisschen zu zahm	3	
eine bisschen zu wolkig	3	
eine bisschen zu witzig	3	
eine bisschen zu wissenschaftlich	3	
eine bisschen zu weinerlich	3	
eine bisschen zu weichgespült	3	
eine bisschen zu wagemutig	3	
eine bisschen zu wackelig	3	
eine bisschen zu vorlaut	3	
eine bisschen zu verwirrend	3	
eine bisschen zu utopisch	3	
eine bisschen zu unrecht	3	
eine bisschen zu unprofessionell	3	
eine bisschen zu unpassend	3	
eine bisschen zu unnatürlich	3	
eine bisschen zu unerfahren	3	
eine bisschen zu unbequem	3	
eine bisschen zu trist	3	
eine bisschen zu touristisch	3	
eine bisschen zu symmetrisch	3	
eine bisschen zu stupide	3	
eine bisschen zu stumpf	3	
eine bisschen zu stereotyp	3	
eine bisschen zu starr	3	
eine bisschen zu spukig	3	
eine bisschen zu sprunghaft	3	
eine bisschen zu spitzfindig	3	
eine bisschen zu seltsam	3	
eine bisschen zu selbstgefällig	3	
eine bisschen zu schwarzmalerisch	3	
eine bisschen zu schrill	3	
eine bisschen zu schleimig	3	
eine bisschen zu schlampig	3	
eine bisschen zu schlabberig	3	
eine bisschen zu salopp	3	
eine bisschen zu sachlich	3	
eine bisschen zu rustikal	3	
