Source,Target,Type,Id,Label,Weight,att1,att2,Weight_copy
279,639,Undirected,357,,705.513916,705.51387,ein Tick,705.513916
302,639,Undirected,358,,541.911072,541.91113,ein Tick,541.911072
303,639,Undirected,359,,529.907227,529.90717,ein Tick,529.907227
267,639,Undirected,360,,528.25061,528.25063,ein Tick,528.25061
290,639,Undirected,361,,514.151917,514.1519,ein Tick,514.151917
304,639,Undirected,362,,508.165497,508.16553,ein Tick,508.165497
305,639,Undirected,363,,483.525085,483.52515,ein Tick,483.525085
306,639,Undirected,364,,468.632507,468.63254,ein Tick,468.632507
307,639,Undirected,365,,424.061493,424.06147,ein Tick,424.061493
270,639,Undirected,366,,403.402588,403.40259,ein Tick,403.402588
190,639,Undirected,367,,357.759186,357.7592,ein Tick,357.759186
308,639,Undirected,368,,314.076813,314.07682,ein Tick,314.076813
309,639,Undirected,369,,310.902191,310.90224,ein Tick,310.902191
310,639,Undirected,370,,282.388794,282.38882,ein Tick,282.388794
266,639,Undirected,371,,281.415894,281.41591,ein Tick,281.415894
311,639,Undirected,372,,274.870087,274.87012,ein Tick,274.870087
312,639,Undirected,373,,247.6548,247.6548,ein Tick,247.6548
169,639,Undirected,374,,243.264496,243.26451,ein Tick,243.264496
313,639,Undirected,375,,242.0728,242.07279,ein Tick,242.0728
314,639,Undirected,376,,237.302795,237.30277,ein Tick,237.302795
315,639,Undirected,377,,236.445694,236.44572,ein Tick,236.445694
316,639,Undirected,378,,235.274307,235.27432,ein Tick,235.274307
317,639,Undirected,379,,228.692505,228.69245,ein Tick,228.692505
318,639,Undirected,380,,227.853607,227.85363,ein Tick,227.853607
319,639,Undirected,381,,223.932602,223.93257,ein Tick,223.932602
320,639,Undirected,382,,214.172195,214.17218,ein Tick,214.172195
268,639,Undirected,383,,212.508606,212.50859,ein Tick,212.508606
321,639,Undirected,384,,208.1138,208.11381,ein Tick,208.1138
322,639,Undirected,385,,207.978394,207.97839,ein Tick,207.978394
323,639,Undirected,386,,197.546494,197.54651,ein Tick,197.546494
324,639,Undirected,387,,197.105392,197.10545,ein Tick,197.105392
135,639,Undirected,388,,193.166504,193.16651,ein Tick,193.166504
325,639,Undirected,389,,176.230301,176.23035,ein Tick,176.230301
326,639,Undirected,390,,172.494797,172.49483,ein Tick,172.494797
286,639,Undirected,391,,166.697006,166.69703,ein Tick,166.697006
327,639,Undirected,392,,166.243805,166.24384,ein Tick,166.243805
263,639,Undirected,393,,162.938904,162.93893,ein Tick,162.938904
